18712..18723 fk_fkb_write_u32
18724..18737 fk_fkb_write_signed
18738..18741 fk_fkb_write_cstr
18742..18744 fk_fkb_write_bytes
18745..18750 fk_fkb_write_srctext_slice
18763..18770 fk_src_sym_index_free
18771..18802 fk_src_sym_index_build
18803..18815 fk_src_symbol_id_for_fn
18816..18829 fk_src_symbol_id_for_node
18830..18839 fk_src_direct_call_fn
18840..18924 fk_src_write_sym_text
18942..19020 fk_src_sweep_dead_temps
19042..19150 fk_src_write_fkb
19160..19165 fk_fkb_begin
19166..19172 fk_fkb_mark_bad
19173..19179 fk_fkb_read_u8
19180..19186 fk_fkb_read_u32
19187..19205 fk_fkb_read_signed
19206..19213 fk_fkb_skip_string
19214..19231 fk_fkb_read_string_matches_cstr
19232..19241 fk_string_table_reset
19242..19277 fk_fkb_read_table_string
19278..19283 fk_fkb_remap_fn
19284..19330 fk_fkb_node_arity_for_tag
19331..19368 fk_fkb_remap_field
19369..19393 fk_fkb_read_symbol_to_srctext
19394..19565 fk_src_import_fkb_image
19573..19633 fk_fkb_restore_symbol_image
19634..19780 fk_src_load_fkb_checked
19781..19783 fk_src_load_fkb
19784..19792 fk_run_loaded_program_image
19794..19815 fk_run_dylib_artifact
19816..19841 fk_src_fkb_version_raw
19842..19881 fk_src_sym_recorded_errors
19887..19922 fk_src_sym_recorded_unrunnable
19923..19957 fk_src_reset_compile_state
19981..20048 fk_src_check_balance
20049..20098 fk_src_compile_current_unit
20099..20272 fk_src_compile_artifact_only
20273..20482 fk_src_try_import_fkb_images
20483..20579 fk_run_src
20588..20769 fk_run_feval
20785..20802 fk_stage_input
20830..20865 fk_read_whole_file
20874..20902 fk_unit_lowers
20903..20919 fk_hex16_parse
20931..20940 fk_floor_seen_has
20941..20989 fk_bml_floor_fold
20990..21000 fk_bml_floor_digest
21001..21038 fk_bml_low_memo_read
21039..21052 fk_bml_low_memo_write
21054..21076 fk_bml_lower_to_mem
21077..21193 fk_bml_lower_spawn
21202..21268 fk_run_bml
21269..21341 fk_run
21352..21357 fk_run_thunk_w
21358..21381 main
21396..21401 fk_run_thunk
21402..21425 main
